Key,Press_Time,Release_Time,Dwell_Time,Flight_Time
n,746749.0749557,746749.2205961,0.1456404000055045,0.0
o,746749.3287736,746749.4244165,0.0956428999779746,0.10817750007845461
t,746749.6146572,746749.6818271,0.06716989993583411,0.19024070003069937
e,746749.7526608,746749.8486219,0.09596109995618463,0.070833700010553
p,746750.0367122,746750.1210443,0.08433209999930114,0.1880903000710532
a,746750.3045949,746750.4426046,0.13800969999283552,0.18355059996247292
d,746750.5811161,746750.6786647,0.0975486000534147,0.13851149997208267
caps lock,746761.7806073,746761.8529118,0.07230450003407896,11.101942599983886
H,746762.2451086,746762.3248975,0.07978889998048544,0.39219679997768253
caps lock,746762.332653,746762.5070943,0.17444129998330027,0.007755500031635165
e,746762.7249099,746762.8008735,0.07596359995659441,0.21781559998635203
l,746762.9068139,746762.9868374,0.08002350002061576,0.10594040004070848
l,746763.0814128,746763.1608557,0.07944290002342314,0.09457539999857545
o,746763.3047872,746763.3124164,0.007629200001247227,0.1439314999151975
space,746763.6412853,746763.7247795,0.08349420002195984,0.32886890007648617
m,746763.8687154,746763.9687963,0.10008090001065284,0.14393589994870126
y,746764.1888164,746764.2668839,0.07806750002782792,0.22002010000869632
space,746764.4686793,746764.5550525,0.08637319994159043,0.20179540000390261
n,746764.6790826,746764.762969,0.08388639998156577,0.12403010006528348
a,746764.858731,746764.9547846,0.09605359996203333,0.09576199995353818
m,746765.0131024,746765.0949291,0.08182670001406223,0.05831780005246401
e,746765.1647073,746765.2508976,0.08619029994588345,0.06977820000611246
space,746765.2687199,746765.3489845,0.08026459999382496,0.01782230008393526
i,746765.4666826,746765.5370773,0.07039470004383475,0.11769809992983937
s,746765.6248089,746765.706856,0.08204710006248206,0.08773159992415458
space,746765.74066,746765.8225199,0.08185990003403276,0.03380400000605732
s,746765.9748175,746766.0629189,0.08810140006244183,0.15229759993962944
u,746766.068762,746766.1488807,0.0801187000470236,0.005843099905177951
s,746766.2048253,746766.3128659,0.10804059996735305,0.055944600026123226
h,746766.2807426,746766.3629481,0.08220549998804927,0.13186189997941256
i,746766.4808131,746766.5587014,0.07788829994387925,0.1178650000365451
l,746766.7188244,746766.7926461,0.07382170006167144,0.1601230000378564
space,746766.9785588,746767.0520954,0.07353660010267049,0.18591269990429282
c,746767.0826458,746767.1734453,0.09079950000159442,0.03055039991158992
h,746767.2134048,746767.2866878,0.0732829999178648,0.03995950007811189
a,746767.3288944,746767.446498,0.11760359990876168,0.04220660007558763
n,746767.4365895,746767.5268475,0.09025799995288253,0.14990170008968562
d,746767.7406951,746767.8147317,0.07403659995179623,0.213847600040026
a,746767.9170074,746767.9986653,0.08165790000930429,0.10227569995913655
r,746767.9827409,746768.0612805,0.07853960001375526,0.16800920001696795
g,746768.2687525,746768.3627123,0.09395980008412153,0.20747199992183596
i,746768.5145786,746768.5909691,0.07639050006400794,0.15186629991512746
space,746768.7727142,746768.8586517,0.0859375,0.1817450999515131
a,746769.2067682,746769.3187192,0.11195099994074553,0.3481165000703186
m,746769.4947454,746769.6047627,0.11001730000134557,0.17602620006073266
backspace,746770.0188527,746770.0888081,0.06995539995841682,0.4140899999765679
n,746770.3448309,746770.4247558,0.07992490008473396,0.25602279999293387
d,746770.5566528,746770.6347664,0.0781136000296101,0.1318969998974353
space,746770.628818,746770.7046548,0.07583680003881454,0.20406219991855323
i,746770.8346007,746770.8986703,0.06406960007734597,0.1299458999419585
m,746771.0167547,746771.08669,0.06993530003819615,0.11808439996093512
space,746771.2266778,746771.3046376,0.07795980002265424,0.13998779992107302
a,746771.2445248,746771.3566477,0.1121228999691084,0.15783479996025562
space,746773.0007581,746773.0868209,0.08606280002277344,1.6441103999968618
3,746773.1767216,746773.2907584,0.11403679999057204,0.08990070002619177
r,746773.4147584,746773.5026624,0.08790400007274002,0.12399999995250255
d,746773.5927632,746773.6807751,0.08801189996302128,0.09010080003645271
space,746773.7647655,746773.8568572,0.09209170006215572,0.08399039995856583
y,746774.0187733,746774.098813,0.08003970002755523,0.1619160999543965
e,746774.1022923,746774.1848541,0.08256180002354085,0.003479299950413406
