Key,Press_Time,Release_Time,Dwell_Time,Flight_Time,Outlier,User_Name,Session_Type
e,748047.3488696,748047.4249671,0.0760975000448525,0.0,False,Shruti,Prose
l,748047.5430864,748047.6190853,0.07599889999255538,0.11811929999385029,False,Shruti,Prose
l,748047.7249899,748047.7849955,0.060005599982105196,0.10590460000094026,False,Shruti,Prose
o,748047.9129686,748047.9870751,0.07410649990197271,0.1279731000540778,False,Shruti,Prose
space,748048.1930837,748048.2690309,0.07594719994813204,0.20600860007107258,False,Shruti,Prose
e,748048.5470076,748048.6231597,0.07615209999494255,0.2779766999883577,False,Shruti,Prose
v,748048.7194648,748048.8069262,0.08746140007860959,0.09630510001443326,False,Shruti,Prose
e,748048.7990147,748048.9029425,0.10392779996618629,0.17585500003769994,False,Shruti,Prose
r,748049.0111642,748049.0870518,0.07588759995996952,0.10822170006576926,False,Shruti,Prose
y,748049.2488997,748049.324994,0.07609430002048612,0.16184790001716465,False,Shruti,Prose
o,748049.8210533,748049.8911697,0.07011639990378171,0.496059300028719,False,Shruti,Prose
n,748050.0536946,748050.1228253,0.06913069996517152,0.1625249000499025,False,Shruti,Prose
e,748050.2170093,748050.2949025,0.07789319998119026,0.09418400004506111,False,Shruti,Prose
space,748050.3168856,748050.3910825,0.0741969000082463,0.021983099984936416,False,Shruti,Prose
m,748050.5350162,748050.6271108,0.09209459996782243,0.1439337000483647,False,Shruti,Prose
y,748050.8369767,748050.8848577,0.04788099997676909,0.20986589998938143,False,Shruti,Prose
space,748051.0891609,748051.1750314,0.08587050007190555,0.2043032000074163,False,Shruti,Prose
n,748051.3029295,748051.3929491,0.09001960000023246,0.1278980999486521,False,Shruti,Prose
a,748051.4390668,748051.547115,0.10804819990880787,0.04611770005431026,False,Shruti,Prose
m,748051.525069,748051.6231619,0.09809290000703186,0.13211989996489137,False,Shruti,Prose
e,748051.7253253,748051.799147,0.07382169994525611,0.10216340003535151,False,Shruti,Prose
space,748051.8250391,748051.9192011,0.09416199999395758,0.025892100064083934,False,Shruti,Prose
i,748052.0612459,748052.1330018,0.07175590004771948,0.14204479998443276,False,Shruti,Prose
s,748052.1990389,748052.2991731,0.10013420006725937,0.06603709992486984,False,Shruti,Prose
space,748052.3190481,748052.407072,0.08802389993797988,0.019874999998137355,False,Shruti,Prose
s,748052.5172215,748052.6051383,0.08791679993737489,0.11014950007665902,False,Shruti,Prose
u,748052.6171088,748052.6911146,0.0740058000665158,0.011970499996095896,False,Shruti,Prose
s,748052.7531117,748052.8591579,0.10604620003141463,0.06199709989596158,False,Shruti,Prose
h,748052.80127,748052.8849323,0.08366229990497231,0.11015540000516921,False,Shruti,Prose
i,748052.979013,748053.0491509,0.070137899951078,0.0940807000733912,False,Shruti,Prose
l,748053.195164,748053.2731523,0.07798830000683665,0.14601310004945844,False,Shruti,Prose
space,748053.4230467,748053.5159276,0.09288090001791716,0.1498943999176845,False,Shruti,Prose
c,748053.5871519,748053.6811274,0.09397549997083843,0.07122430007439107,False,Shruti,Prose
h,748053.7047973,748053.7891836,0.08438629994634539,0.023669900023378432,False,Shruti,Prose
a,748053.8511678,748053.959177,0.1080091999610886,0.06198420003056526,False,Shruti,Prose
n,748053.9709733,748054.0631059,0.09213259990792722,0.011796300066635013,False,Shruti,Prose
d,748054.2631767,748054.3379452,0.0747685000533238,0.20007080002687871,False,Shruti,Prose
a,748054.3849532,748054.4807225,0.09576930000912398,0.04700799996498972,False,Shruti,Prose
r,748054.4671018,748054.5430986,0.07599679997656494,0.1291565999854356,False,Shruti,Prose
a,748054.6029295,748054.7170805,0.1141509999288246,0.059830900048837066,False,Shruti,Prose
g,748054.7249045,748054.8091022,0.08419770002365112,0.007823999971151352,False,Shruti,Prose
i,748054.9330388,748055.0031248,0.07008600002154708,0.12393660005182028,False,Shruti,Prose
space,748055.1650592,748055.2592319,0.09417269995901734,0.1619343999773264,False,Shruti,Prose
a,748055.4331223,748055.5490427,0.11592040001414716,0.17389039997942746,False,Shruti,Prose
n,748055.5692076,748055.6530693,0.08386170002631843,0.020164899993687868,False,Shruti,Prose
d,748055.7288969,748055.8150652,0.08616830001119524,0.0758275999687612,False,Shruti,Prose
space,748055.8549417,748055.9469655,0.09202380001079291,0.039876500028185546,False,Shruti,Prose
i,748057.4331694,748057.5071863,0.07401690003462136,1.4862038999563083,False,Shruti,Prose
m,748057.6550247,748057.7272056,0.07218090002425015,0.14783839997835457,False,Shruti,Prose
space,748057.8451541,748057.9292385,0.08408439997583628,0.11794849997386336,False,Shruti,Prose
a,748058.457032,748058.5609328,0.10390080010984093,0.5277934999903664,False,Shruti,Prose
space,748058.5471457,748058.6388306,0.09168489999137819,0.6179072000086308,False,Shruti,Prose
3,748059.8891284,748059.9770337,0.08790529996622354,1.250297800055705,False,Shruti,Prose
r,748060.0531769,748060.1331461,0.07996919995639473,0.07614320004358888,False,Shruti,Prose
d,748060.2549364,748060.3371119,0.08217549999244511,0.12179030000697821,False,Shruti,Prose
space,748060.4611914,748060.550918,0.08972660009749234,0.12407949997577816,False,Shruti,Prose
y,748060.7610507,748060.8429528,0.08190210000611842,0.21013269992545247,False,Shruti,Prose
