Key,Press_Time,Release_Time,Dwell_Time,Flight_Time,Outlier,User_Name,Session_Type
c,201859.6204615,201859.8244564,0.20399490001727827,0.0,False,Sushil,Prose
c,201865.7649899,201865.8042887,0.039298799994867295,nan,True,Sushil,Prose
h,201865.8286359,201865.9369419,0.10830600000917912,0.02434720000019297,False,Sushil,Prose
a,201866.0825213,201866.0922839,0.009762600006069988,0.14557940000668168,False,Sushil,Prose
backspace,201867.1428394,201867.2304362,0.08759680000366643,1.0505554999981541,False,Sushil,Prose
backspace,201867.3311056,201867.3802992,0.04919360001804307,0.10066939998068847,False,Sushil,Prose
backspace,201867.4823137,201867.5248121,0.04249839999829419,0.10201449997839518,False,Sushil,Prose
backspace,201867.7305131,201867.8265988,0.09608570000273176,0.2057009999989532,False,Sushil,Prose
backspace,201867.9044687,201867.9828635,0.07839479998801835,0.07786990000749938,False,Sushil,Prose
g,201868.4584312,201868.5428253,0.08439410000573844,0.47556770002120174,False,Sushil,Prose
e,201868.7084785,201868.788721,0.08024250000016764,0.1656531999760773,False,Sushil,Prose
m,201868.8547393,201868.9506663,0.0959269999875687,0.066018300014548,False,Sushil,Prose
i,201869.0885031,201869.1525699,0.06406679999781772,0.13783680001506582,False,Sushil,Prose
enter,201869.4833605,201869.6163747,0.13301420002244413,0.33079059998271987,False,Sushil,Prose
v,201876.5124172,201876.6643889,0.15197170001920313,nan,True,Sushil,Prose
enter,201878.4387703,201878.5366799,0.09790959997917525,1.7743813999986742,False,Sushil,Prose
enter,201878.6609527,201878.7129394,0.05198669998208061,0.12427280002157204,False,Sushil,Prose
enter,201878.8286859,201878.9964762,0.1677903000090737,0.11574649999965914,False,Sushil,Prose
c,201879.4666467,201879.5465879,0.07994120000512339,0.4701704999897629,False,Sushil,Prose
a,201879.6425424,201879.7710699,0.12852749999728985,0.09595449999324046,False,Sushil,Prose
n,201879.7985968,201879.8830791,0.08448229997884482,0.02752690002671443,False,Sushil,Prose
space,201880.0127861,201880.1086406,0.09585449998849072,0.129707000014605,False,Sushil,Prose
y,201881.0188075,201881.1027707,0.08396320001338609,0.9101668999937829,False,Sushil,Prose
o,201881.1052707,201881.2046885,0.09941779999644496,0.0025000000023283064,False,Sushil,Prose
u,201881.2907901,201881.3583577,0.06756759999552742,0.08610159999807365,False,Sushil,Prose
space,201884.9966328,201885.1425293,0.1458965000056196,nan,True,Sushil,Prose
r,201885.1724608,201885.3345328,0.16207200000644661,0.029931500001112,False,Sushil,Prose
e,201885.2346675,201885.380694,0.1460265000059735,0.09213819997967221,False,Sushil,Prose
w,201885.5369755,201885.642557,0.10558150001452304,0.1562815000070259,False,Sushil,Prose
r,201885.7968951,201885.8786767,0.08178159999079071,0.15433809999376535,False,Sushil,Prose
i,201886.0928499,201886.1765546,0.08370470002410002,0.2141731999872718,False,Sushil,Prose
t,201886.3585119,201886.4307389,0.0722269999969285,0.18195729999570176,False,Sushil,Prose
e,201886.5246114,201886.6147856,0.09017419998417608,0.09387250000145286,False,Sushil,Prose
space,201886.6786777,201886.7706149,0.09193719999166206,0.06389210000634193,False,Sushil,Prose
t,201886.8887166,201886.9788683,0.0901517000165768,0.11810170000535436,False,Sushil,Prose
h,201886.9928002,201887.0705712,0.07777099998202175,0.013931900000898167,False,Sushil,Prose
i,201887.1854968,201887.2607244,0.0752275999984704,0.11492560000624508,False,Sushil,Prose
s,201887.3347037,201887.4366421,0.10193839998100884,0.07397930001025088,False,Sushil,Prose
space,201887.4846387,201887.5665882,0.0819494999886956,0.04799660001299344,False,Sushil,Prose
p,201887.7444807,201887.8307113,0.08623059999081306,0.17789250001078472,False,Sushil,Prose
r,201887.9146587,201887.9866424,0.07198370000696741,0.08394740000949241,False,Sushil,Prose
o,201887.9883181,201888.0484779,0.060159800021210685,0.0016756999830249697,False,Sushil,Prose
m,201888.2304128,201888.2905509,0.06013810000149533,0.1819348999997601,False,Sushil,Prose
p,201888.4244981,201888.5166503,0.09215219999896362,0.13394719999632798,False,Sushil,Prose
t,201888.6305867,201888.7026741,0.07208740001078695,0.11393639998277649,False,Sushil,Prose
space,201888.7163968,201888.7825481,0.06615129997953773,0.01372270000865683,False,Sushil,Prose
t,201889.2265549,201889.3206402,0.09408529999200255,0.444006800011266,False,Sushil,Prose
e,201889.4167511,201889.5302224,0.11347129999194294,0.096110900019994,False,Sushil,Prose
l,201889.5208346,201889.5886264,0.06779179998557083,0.2001944000076037,False,Sushil,Prose
l,201889.6805749,201889.7489683,0.06839339999714866,0.09194850001949817,False,Sushil,Prose
i,201889.8827936,201889.9367124,0.05391879999660887,0.13382529999944381,False,Sushil,Prose
n,201890.0884265,201890.1704268,0.08200029999716207,0.15171410000766627,False,Sushil,Prose
g,201890.202576,201890.2705498,0.0679738000035286,0.03214920000755228,False,Sushil,Prose
space,201890.3268075,201890.4063458,0.07953829999314621,0.05625769999460317,False,Sushil,Prose
w,201890.7524168,201890.8544256,0.10200879999320023,0.346071000007214,False,Sushil,Prose
h,201890.8604938,201890.9445268,0.08403300002100877,0.006068199989385903,False,Sushil,Prose
a,201891.1626926,201891.2706492,0.10795660002622753,0.2181657999753952,False,Sushil,Prose
t,201891.2888734,201891.3544807,0.06560730002820492,0.018224199971882626,False,Sushil,Prose
space,201891.576844,201891.6466301,0.06978610000805929,0.22236329998122528,False,Sushil,Prose
m,201891.8088147,201891.8867088,0.07789410001714714,0.16218459999072365,False,Sushil,Prose
u,201892.0445792,201892.1145987,0.07001949998084456,0.15787039999850094,False,Sushil,Prose
s,201892.1705472,201892.234521,0.0639738000172656,0.05594849999761209,False,Sushil,Prose
t,201892.2583109,201892.314484,0.0561730999907013,0.02378990000579506,False,Sushil,Prose
space,201892.5126019,201892.5870325,0.07443060001241975,0.19811789999948815,False,Sushil,Prose
b,201892.7009163,201892.7749211,0.07400480000069365,0.11388379998970777,False,Sushil,Prose
e,201892.7803169,201892.8588251,0.07850820000749081,0.005395799991674721,False,Sushil,Prose
space,201892.9304991,201893.012477,0.0819779000012204,0.07167400000616908,False,Sushil,Prose
d,201893.7745624,201893.866698,0.09213559998897836,0.7620853999978863,False,Sushil,Prose
o,201893.8745389,201893.9422812,0.06774229998700321,0.007840900012524799,False,Sushil,Prose
n,201894.1245479,201894.1904991,0.06595119999838062,0.18226669999421574,False,Sushil,Prose
e,201894.2265101,201894.2847259,0.058215800003381446,0.036011000018334016,False,Sushil,Prose
space,201894.3724885,201894.4527629,0.08027440001023933,0.08776259998558089,False,Sushil,Prose
s,201894.5985457,201894.6925756,0.09402990000671707,0.1457827999838628,False,Sushil,Prose
o,201894.7006152,201894.7545011,0.05388589997892268,0.008039600012125447,False,Sushil,Prose
space,201894.9267884,201895.0131338,0.08634540002094582,0.17228729999624193,False,Sushil,Prose
t,201895.2129678,201895.2643275,0.05135969998082146,0.19983399999910034,False,Sushil,Prose
h,201895.4086139,201895.5026335,0.09401959998649545,0.14428640002734028,False,Sushil,Prose
a,201895.5103673,201895.5987469,0.0883795999980066,0.007733800011919811,False,Sushil,Prose
t,201895.6630038,201895.7309964,0.06799260000116192,0.06425689999014139,False,Sushil,Prose
space,201896.0325803,201896.1202675,0.0876871999935247,0.3015838999999687,False,Sushil,Prose
c,201898.8825099,201898.9704392,0.08792930000345223,nan,True,Sushil,Prose
o,201899.0544071,201899.1304768,0.07606970000779256,0.08396789999096654,False,Sushil,Prose
d,201899.328469,201899.5083851,0.17991609999444336,0.19799220000277273,False,Sushil,Prose
e,201899.3944342,201899.5362935,0.14185929999803193,0.26395739999134094,False,Sushil,Prose
